unix,date,symbol,open,high,low,close,Volume AAVE,Volume BTC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751241600000,2025-06-30 00:00:00,AAVE/BTC,0.002398,0.002398,0.002398,0.002398,0,0,0,0,0,0.002398
1751155200000,2025-06-29 00:00:00,AAVE/BTC,0.002398,0.002398,0.002398,0.002398,0,0,0,0,0,0.002398
1751068800000,2025-06-28 00:00:00,AAVE/BTC,0.002398,0.002398,0.002398,0.002398,0,0,0,0,0,0.002398
1750982400000,2025-06-27 00:00:00,AAVE/BTC,0.002398,0.002398,0.002398,0.002398,0,0,0,0,0,0.002398
1750896000000,2025-06-26 00:00:00,AAVE/BTC,0.002428,0.002437,0.002395,0.002398,0.001631,0.68,0.001631,0.68,8,0.002398
1750809600000,2025-06-25 00:00:00,AAVE/BTC,0.002501,0.002501,0.002451,0.00246,0.000148,0.06,0.000148,0.06,6,0.002469
1750723200000,2025-06-24 00:00:00,AAVE/BTC,0.002185,0.002185,0.002185,0.002185,0,0,0,0,0,0.002282
1750636800000,2025-06-23 00:00:00,AAVE/BTC,0.002185,0.002185,0.002185,0.002185,0,0,0,0,0,0.002282
1750550400000,2025-06-22 00:00:00,AAVE/BTC,0.002251,0.002288,0.002185,0.002185,0.001414,0.62,0.000091,0.04,8,0.002282
1750464000000,2025-06-21 00:00:00,AAVE/BTC,0.00234,0.00234,0.002264,0.002271,0.007155,3.11,0.004224,1.84,13,0.0023
1750377600000,2025-06-20 00:00:00,AAVE/BTC,0.002309,0.002309,0.002309,0.002309,0.001177,0.51,0,0,1,0.002309
1750291200000,2025-06-19 00:00:00,AAVE/BTC,0.002595,0.002595,0.002595,0.002595,0,0,0,0,0,0.002598
1750204800000,2025-06-18 00:00:00,AAVE/BTC,0.002595,0.002595,0.002595,0.002595,0,0,0,0,0,0.002598
1750118400000,2025-06-17 00:00:00,AAVE/BTC,0.002595,0.002623,0.002595,0.002595,0.000467,0.18,0.000077,0.03,4,0.002598
1750032000000,2025-06-16 00:00:00,AAVE/BTC,0.002668,0.002699,0.00261,0.00261,0.000726,0.27,0.000052,0.02,5,0.002689
1749945600000,2025-06-15 00:00:00,AAVE/BTC,0.002627,0.002627,0.002627,0.002627,0,0,0,0,0,0.002685
1749859200000,2025-06-14 00:00:00,AAVE/BTC,0.002627,0.002627,0.002627,0.002627,0,0,0,0,0,0.002685
1749772800000,2025-06-13 00:00:00,AAVE/BTC,0.002627,0.002627,0.002627,0.002627,0,0,0,0,0,0.002685
1749686400000,2025-06-12 00:00:00,AAVE/BTC,0.002627,0.002627,0.002627,0.002627,0,0,0,0,0,0.002685
1749600000000,2025-06-11 00:00:00,AAVE/BTC,0.002707,0.002707,0.002627,0.002627,0.000295,0.11,0,0,5,0.002685
1749513600000,2025-06-10 00:00:00,AAVE/BTC,0.002835,0.002849,0.002524,0.002709,0.001167,0.43,0.000425,0.15,9,0.002719
