unix,date,symbol,open,high,low,close,Volume ATLAS,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751414400000,2025-07-02 00:00:00,ATLAS/USDT,0.000802,0.000802,0.000802,0.000802,7.948397,9910.72,0,0,1,0.000802
1751328000000,2025-07-01 00:00:00,ATLAS/USDT,0.000959,0.000959,0.000959,0.000959,22.231662,23182.13,22.231662,23182.13,1,0.000959
1751241600000,2025-06-30 00:00:00,ATLAS/USDT,0.000959,0.000959,0.000959,0.000959,0,0,0,0,0,0.000959
1751155200000,2025-06-29 00:00:00,ATLAS/USDT,0.000959,0.000959,0.000959,0.000959,0,0,0,0,0,0.000959
1751068800000,2025-06-28 00:00:00,ATLAS/USDT,0.000959,0.000959,0.000959,0.000959,2.999991,3128.25,2.999991,3128.25,1,0.000959
1750982400000,2025-06-27 00:00:00,ATLAS/USDT,0.000792,0.000792,0.000792,0.000792,0,0,0,0,0,0.000874
1750896000000,2025-06-26 00:00:00,ATLAS/USDT,0.000792,0.000792,0.000792,0.000792,0,0,0,0,0,0.000874
1750809600000,2025-06-25 00:00:00,ATLAS/USDT,0.000792,0.000792,0.000792,0.000792,0,0,0,0,0,0.000874
1750723200000,2025-06-24 00:00:00,ATLAS/USDT,0.000792,0.000792,0.000792,0.000792,0,0,0,0,0,0.000874
1750636800000,2025-06-23 00:00:00,ATLAS/USDT,0.000792,0.000792,0.000792,0.000792,0,0,0,0,0,0.000874
1750550400000,2025-06-22 00:00:00,ATLAS/USDT,0.000792,0.000792,0.000792,0.000792,0,0,0,0,0,0.000874
1750464000000,2025-06-21 00:00:00,ATLAS/USDT,0.000912,0.000912,0.000792,0.000792,7.514194,8628.78,0,0,4,0.000874
1750377600000,2025-06-20 00:00:00,ATLAS/USDT,0.000999,0.000999,0.000999,0.000999,0,0,0,0,0,0.000984
1750291200000,2025-06-19 00:00:00,ATLAS/USDT,0.000999,0.000999,0.000999,0.000999,0,0,0,0,0,0.000984
1750204800000,2025-06-18 00:00:00,ATLAS/USDT,0.000999,0.000999,0.000999,0.000999,0,0,0,0,0,0.000984
1750118400000,2025-06-17 00:00:00,ATLAS/USDT,0.000999,0.000999,0.000999,0.000999,0,0,0,0,0,0.000984
1750032000000,2025-06-16 00:00:00,ATLAS/USDT,0.000903,0.000999,0.000903,0.000999,4.667158,4748.38,4.667158,4748.38,3,0.000984
1749945600000,2025-06-15 00:00:00,ATLAS/USDT,0.000864,0.000864,0.000864,0.000864,0,0,0,0,0,0.000975
1749859200000,2025-06-14 00:00:00,ATLAS/USDT,0.000864,0.000864,0.000864,0.000864,0,0,0,0,0,0.000975
1749772800000,2025-06-13 00:00:00,ATLAS/USDT,0.001011,0.001011,0.000864,0.000864,2.888251,2973.73,0.688262,796.6,3,0.000975
1749686400000,2025-06-12 00:00:00,ATLAS/USDT,0.001011,0.001011,0.001011,0.001011,0,0,0,0,0,0.001011
1749600000000,2025-06-11 00:00:00,ATLAS/USDT,0.001011,0.001011,0.001011,0.001011,0,0,0,0,0,0.001011
1749513600000,2025-06-10 00:00:00,ATLAS/USDT,0.001011,0.001011,0.001011,0.001011,0,0,0,0,0,0.001011
1749427200000,2025-06-09 00:00:00,ATLAS/USDT,0.001011,0.001011,0.001011,0.001011,0,0,0,0,0,0.001011
1749340800000,2025-06-08 00:00:00,ATLAS/USDT,0.001011,0.001011,0.001011,0.001011,0,0,0,0,0,0.001011
1749254400000,2025-06-07 00:00:00,ATLAS/USDT,0.001011,0.001011,0.001011,0.001011,0,0,0,0,0,0.001011
1749168000000,2025-06-06 00:00:00,ATLAS/USDT,0.001011,0.001011,0.001011,0.001011,7.274529,7195.38,0,0,2,0.001011
1749081600000,2025-06-05 00:00:00,ATLAS/USDT,0.001387,0.001387,0.001387,0.001387,0,0,0,0,0,0.001374
1748995200000,2025-06-04 00:00:00,ATLAS/USDT,0.001387,0.001387,0.001387,0.001387,0,0,0,0,0,0.001374
1748908800000,2025-06-03 00:00:00,ATLAS/USDT,0.001387,0.001387,0.001387,0.001387,0,0,0,0,0,0.001374
1748822400000,2025-06-02 00:00:00,ATLAS/USDT,0.001254,0.001387,0.001102,0.001387,10.680351,7786.06,9.999992,7209.8,3,0.001374
1748736000000,2025-06-01 00:00:00,ATLAS/USDT,0.001254,0.001254,0.001254,0.001254,0,0,0,0,0,0.001296
1748649600000,2025-05-31 00:00:00,ATLAS/USDT,0.001254,0.001254,0.001254,0.001254,0,0,0,0,0,0.001296
1748563200000,2025-05-30 00:00:00,ATLAS/USDT,0.001254,0.001254,0.001254,0.001254,0,0,0,0,0,0.001296
1748476800000,2025-05-29 00:00:00,ATLAS/USDT,0.001359,0.001359,0.001254,0.001254,18.344548,14171.3,0,0,4,0.001296
1748390400000,2025-05-28 00:00:00,ATLAS/USDT,0.001143,0.001143,0.001143,0.001143,3.25811,2850.49,3.25811,2850.49,2,0.001143
1748304000000,2025-05-27 00:00:00,ATLAS/USDT,0.001234,0.001234,0.001234,0.001234,1.923337,1558.62,1.923337,1558.62,1,0.001234
1748217600000,2025-05-26 00:00:00,ATLAS/USDT,0.001314,0.001314,0.001314,0.001314,1.713653,1304.15,1.713653,1304.15,1,0.001314
1748131200000,2025-05-25 00:00:00,ATLAS/USDT,0.001288,0.001288,0.001288,0.001288,0,0,0,0,0,0.001288
1748044800000,2025-05-24 00:00:00,ATLAS/USDT,0.001288,0.001288,0.001288,0.001288,0,0,0,0,0,0.001288
1747958400000,2025-05-23 00:00:00,ATLAS/USDT,0.001288,0.001288,0.001288,0.001288,0,0,0,0,0,0.001288
1747872000000,2025-05-22 00:00:00,ATLAS/USDT,0.001288,0.001288,0.001288,0.001288,0,0,0,0,0,0.001288
