unix,date,symbol,open,high,low,close,Volume ADA,Volume BTC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751414400000,2025-07-02 00:00:00,ADA/BTC,0.00000514,0.00000541,0.00000514,0.00000541,0.02002853,3833,0.01331974,2542,53,0.00000522
1751328000000,2025-07-01 00:00:00,ADA/BTC,0.00000536,0.00000554,0.00000511,0.00000511,0.09280137,17739,0.05021828,9642,122,0.00000523
1751241600000,2025-06-30 00:00:00,ADA/BTC,0.00000528,0.00000547,0.00000521,0.00000534,0.05116966,9737,0.02497164,4739,81,0.00000525
1751155200000,2025-06-29 00:00:00,ADA/BTC,0.00000521,0.00000537,0.00000517,0.00000537,0.07542201,14511,0.03666502,7032,126,0.00000519
1751068800000,2025-06-28 00:00:00,ADA/BTC,0.00000523,0.00000527,0.0000052,0.00000527,0.0001201,23,0.00008878,17,7,0.00000522
1750982400000,2025-06-27 00:00:00,ADA/BTC,0.00000519,0.00000526,0.00000511,0.00000526,0.16213298,31320,0.09117936,17573,96,0.00000517
1750896000000,2025-06-26 00:00:00,ADA/BTC,0.00000529,0.00000536,0.00000516,0.00000517,0.14935136,28557,0.09178605,17512,195,0.00000523
1750809600000,2025-06-25 00:00:00,ADA/BTC,0.0000055,0.0000055,0.00000528,0.00000528,0.04190188,7849,0.00036684,69,52,0.00000533
1750723200000,2025-06-24 00:00:00,ADA/BTC,0.00000554,0.0000056,0.00000552,0.00000552,0.00232332,420,0.0003635,65,7,0.00000553
1750636800000,2025-06-23 00:00:00,ADA/BTC,0.00000539,0.00000554,0.00000531,0.00000554,0.0141274,2634,0.00825537,1530,66,0.00000536
1750550400000,2025-06-22 00:00:00,ADA/BTC,0.00000542,0.00000542,0.00000516,0.00000533,0.05060913,9764,0.04445147,8595,31,0.00000518
1750464000000,2025-06-21 00:00:00,ADA/BTC,0.00000559,0.00000568,0.00000542,0.00000542,0.00341204,619,0.00059933,107,24,0.00000551
1750377600000,2025-06-20 00:00:00,ADA/BTC,0.00000573,0.00000573,0.00000548,0.00000559,0.01159846,2061,0.0038033,680,43,0.00000562
1750291200000,2025-06-19 00:00:00,ADA/BTC,0.0000058,0.0000058,0.0000057,0.00000576,0.00663647,1158,0.00422901,737,25,0.00000573
1750204800000,2025-06-18 00:00:00,ADA/BTC,0.00000585,0.00000587,0.00000566,0.00000577,0.12720926,21786,0.01193484,2076,140,0.00000583
1750118400000,2025-06-17 00:00:00,ADA/BTC,0.00000589,0.00000594,0.00000583,0.00000583,0.00104118,177,0.00031238,53,19,0.00000588
1750032000000,2025-06-16 00:00:00,ADA/BTC,0.00000596,0.00000608,0.00000592,0.00000592,0.01818074,3014,0.00665565,1103,45,0.00000603
1749945600000,2025-06-15 00:00:00,ADA/BTC,0.00000594,0.00000601,0.00000593,0.00000601,0.01778843,2983,0.01033367,1733,34,0.00000596
1749859200000,2025-06-14 00:00:00,ADA/BTC,0.00000605,0.00000605,0.00000591,0.00000591,0.00552295,915,0.00192786,320,16,0.00000603
1749772800000,2025-06-13 00:00:00,ADA/BTC,0.00000622,0.00000622,0.000006,0.00000604,0.08246806,13701,0.05878098,9790,104,0.00000601
1749686400000,2025-06-12 00:00:00,ADA/BTC,0.00000642,0.00000642,0.00000622,0.00000627,0.02495468,3942,0.01175945,1849,65,0.00000633
