unix,date,symbol,open,high,low,close,Volume AGLD,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751414400000,2025-07-02 00:00:00,AGLD/USDT,0.6409,0.6409,0.6409,0.6409,0,0,0,0,0,0.6409
1751328000000,2025-07-01 00:00:00,AGLD/USDT,0.6409,0.6409,0.6409,0.6409,0,0,0,0,0,0.6409
1751241600000,2025-06-30 00:00:00,AGLD/USDT,0.6409,0.6409,0.6409,0.6409,0.5768,0.9001,0.5768,0.9001,1,0.6409
1751155200000,2025-06-29 00:00:00,AGLD/USDT,0.6666,0.6666,0.6666,0.6666,0,0,0,0,0,0.6666
1751068800000,2025-06-28 00:00:00,AGLD/USDT,0.6666,0.6666,0.6666,0.6666,0,0,0,0,0,0.6666
1750982400000,2025-06-27 00:00:00,AGLD/USDT,0.6666,0.6666,0.6666,0.6666,0,0,0,0,0,0.6666
1750896000000,2025-06-26 00:00:00,AGLD/USDT,0.6666,0.6666,0.6666,0.6666,0,0,0,0,0,0.6666
1750809600000,2025-06-25 00:00:00,AGLD/USDT,0.6666,0.6666,0.6666,0.6666,0.0949,0.1424,0.0949,0.1424,1,0.6666
1750723200000,2025-06-24 00:00:00,AGLD/USDT,0.6666,0.6666,0.6666,0.6666,0,0,0,0,0,0.6664
1750636800000,2025-06-23 00:00:00,AGLD/USDT,0.6664,0.6666,0.6664,0.6666,28.3239,42.5,28.3239,42.5,2,0.6664
1750550400000,2025-06-22 00:00:00,AGLD/USDT,0.66,0.66,0.66,0.66,13.9999,21.2121,0,0,2,0.66
1750464000000,2025-06-21 00:00:00,AGLD/USDT,0.7,0.7,0.68,0.68,24.9576,36.3,0,0,4,0.6876
1750377600000,2025-06-20 00:00:00,AGLD/USDT,0.7499,0.7499,0.7499,0.7499,0,0,0,0,0,0.7499
1750291200000,2025-06-19 00:00:00,AGLD/USDT,0.7499,0.7499,0.7499,0.7499,4.9999,6.6675,4.9999,6.6675,2,0.7499
1750204800000,2025-06-18 00:00:00,AGLD/USDT,0.7299,0.7299,0.7299,0.7299,12.7807,17.5103,12.7807,17.5103,2,0.7299
1750118400000,2025-06-17 00:00:00,AGLD/USDT,0.6806,0.6808,0.6806,0.6808,37.4593,55.0314,0,0,2,0.6806
1750032000000,2025-06-16 00:00:00,AGLD/USDT,0.7557,0.7557,0.7557,0.7557,0,0,0,0,0,0.7557
1749945600000,2025-06-15 00:00:00,AGLD/USDT,0.7557,0.7557,0.7557,0.7557,0,0,0,0,0,0.7557
