unix,date,symbol,open,high,low,close,Volume ALPACA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751414400000,2025-07-02 00:00:00,ALPACA/USDT,0.0126,0.0126,0.0093,0.0093,3.2649,294.7472,0,0,2,0.0113
1751328000000,2025-07-01 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0.0225
1751241600000,2025-06-30 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0.0225
1751155200000,2025-06-29 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0.0225
1751068800000,2025-06-28 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0.0225
1750982400000,2025-06-27 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0.0225
1750896000000,2025-06-26 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0.0225
1750809600000,2025-06-25 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0.0225
1750723200000,2025-06-24 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0.0225
1750636800000,2025-06-23 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,0,0,0,0,0,0.0225
1750550400000,2025-06-22 00:00:00,ALPACA/USDT,0.0225,0.0225,0.0225,0.0225,4.4168,196.3044,0,0,1,0.0225
1750464000000,2025-06-21 00:00:00,ALPACA/USDT,0.0255,0.0255,0.0074,0.0231,20.1655,848.5284,0,0,7,0.0245
1750377600000,2025-06-20 00:00:00,ALPACA/USDT,0.03,0.03,0.0268,0.0268,9.9828,368.42,0,0,3,0.027
1750291200000,2025-06-19 00:00:00,ALPACA/USDT,0.0303,0.0303,0.03,0.03,7.4855,249.01,0,0,3,0.03
1750204800000,2025-06-18 00:00:00,ALPACA/USDT,0.0258,0.0258,0.0258,0.0258,0,0,0,0,0,0.0258
1750118400000,2025-06-17 00:00:00,ALPACA/USDT,0.0258,0.0258,0.0258,0.0258,0,0,0,0,0,0.0258
1750032000000,2025-06-16 00:00:00,ALPACA/USDT,0.0258,0.0258,0.0258,0.0258,0,0,0,0,0,0.0258
1749945600000,2025-06-15 00:00:00,ALPACA/USDT,0.0258,0.0258,0.0258,0.0258,0,0,0,0,0,0.0258
1749859200000,2025-06-14 00:00:00,ALPACA/USDT,0.0258,0.0258,0.0258,0.0258,0,0,0,0,0,0.0258
1749772800000,2025-06-13 00:00:00,ALPACA/USDT,0.0258,0.0258,0.0258,0.0258,0,0.0001,0,0.0001,1,0.0258
1749686400000,2025-06-12 00:00:00,ALPACA/USDT,0.055,0.055,0.0256,0.0256,2,36.3637,1.9999,36.3636,2,0.0549
1749600000000,2025-06-11 00:00:00,ALPACA/USDT,0.0412,0.0412,0.0411,0.0411,43.7228,1061.31,0,0,2,0.0411
1749513600000,2025-06-10 00:00:00,ALPACA/USDT,0.0412,0.0412,0.0412,0.0412,0,0,0,0,0,0.0417
1749427200000,2025-06-09 00:00:00,ALPACA/USDT,0.0418,0.0418,0.0412,0.0412,7.4646,178.5942,0,0,2,0.0417
1749340800000,2025-06-08 00:00:00,ALPACA/USDT,0.0409,0.0409,0.0409,0.0409,0.7362,18,0.7362,18,1,0.0409
1749254400000,2025-06-07 00:00:00,ALPACA/USDT,0.0362,0.0362,0.0362,0.0362,0,0,0,0,0,0.0558
1749168000000,2025-06-06 00:00:00,ALPACA/USDT,0.0409,0.056,0.0362,0.0362,130.0899,2331.0165,130.0899,2331.0165,4,0.0558
1749081600000,2025-06-05 00:00:00,ALPACA/USDT,0.042,0.0662,0.0251,0.0662,3671.8405,105001.9448,424.4991,12330.0794,48,0.035
1748995200000,2025-06-04 00:00:00,ALPACA/USDT,0.0493,0.0622,0.0488,0.0488,28.9742,587.6178,0.7464,12,6,0.0493
1748908800000,2025-06-03 00:00:00,ALPACA/USDT,0.0487,0.0487,0.0487,0.0487,0,0,0,0,0,0.0494
1748822400000,2025-06-02 00:00:00,ALPACA/USDT,0.0497,0.0497,0.0487,0.0487,65.0315,1314.674,0,0,6,0.0494
1748736000000,2025-06-01 00:00:00,ALPACA/USDT,0.0716,0.0716,0.0716,0.0716,0,0,0,0,0,0.065
1748649600000,2025-05-31 00:00:00,ALPACA/USDT,0.0597,0.0716,0.0518,0.0716,34.8976,547.0579,25.6833,369.1773,3,0.065
1748563200000,2025-05-30 00:00:00,ALPACA/USDT,0.0788,0.0788,0.069,0.069,4206.7136,60721.3684,0,0,25,0.0693
1748476800000,2025-05-29 00:00:00,ALPACA/USDT,0.1009,0.1009,0.1009,0.1009,1.6298,16.1536,1.6298,16.1536,1,0.1009
1748390400000,2025-05-28 00:00:00,ALPACA/USDT,0.096,0.1661,0.051,0.0833,3725.5286,30116.0758,3505.4568,28575.563,33,0.1254
1748304000000,2025-05-27 00:00:00,ALPACA/USDT,0.1084,0.1091,0.0402,0.0402,172.1376,1845.5124,1.3,13.0001,23,0.0965
1748217600000,2025-05-26 00:00:00,ALPACA/USDT,0.1618,0.1618,0.1,0.1198,3545.9326,33310.0188,26.026,193.6008,28,0.1075
1748131200000,2025-05-25 00:00:00,ALPACA/USDT,0.163,0.163,0.163,0.163,2.7123,16.64,0,0,1,0.163
1748044800000,2025-05-24 00:00:00,ALPACA/USDT,0.1617,0.1617,0.1617,0.1617,0,0,0,0,0,0.1617
1747958400000,2025-05-23 00:00:00,ALPACA/USDT,0.1617,0.1617,0.1617,0.1617,0,0,0,0,0,0.1617
1747872000000,2025-05-22 00:00:00,ALPACA/USDT,0.1617,0.1617,0.1617,0.1617,2.3997,14.8409,0,0,1,0.1617
1747785600000,2025-05-21 00:00:00,ALPACA/USDT,0.1617,0.1844,0.1617,0.1844,7.1964,41.691,3.6964,20.046,2,0.1733
1747699200000,2025-05-20 00:00:00,ALPACA/USDT,0.2005,0.2005,0.2004,0.2004,4.4984,22.4386,0,0,2,0.2004
1747612800000,2025-05-19 00:00:00,ALPACA/USDT,0.2004,0.2004,0.2004,0.2004,0,0,0,0,0,0.1933
1747526400000,2025-05-18 00:00:00,ALPACA/USDT,0.1824,0.2004,0.1824,0.2004,5.6045,29.0448,5.6045,29.0448,3,0.1933
1747440000000,2025-05-17 00:00:00,ALPACA/USDT,0.1616,0.19,0.1616,0.19,372.4647,2204.0913,113.6656,602.6113,8,0.1698
1747353600000,2025-05-16 00:00:00,ALPACA/USDT,0.1752,0.1752,0.1616,0.1616,261.9448,1602.584,0,0,8,0.1635
1747267200000,2025-05-15 00:00:00,ALPACA/USDT,0.1715,0.1715,0.1715,0.1715,0,0,0,0,0,0.2345
1747180800000,2025-05-14 00:00:00,ALPACA/USDT,0.1706,0.3847,0.17,0.1715,57.9951,283.5082,15.08,39.22,6,0.2345
1747094400000,2025-05-13 00:00:00,ALPACA/USDT,0.3609,0.3609,0.1619,0.1629,12.416,49.8958,10.5891,38.6482,4,0.2612
