unix,date,symbol,open,high,low,close,Volume ALPHA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751414400000,2025-07-02 00:00:00,ALPHA/USDT,0.0125,0.0125,0.0116,0.0117,18.4193,1514.9133,2.5193,216.7315,4,0.0121
1751328000000,2025-07-01 00:00:00,ALPHA/USDT,0.0136,0.0136,0.0135,0.0135,11.9999,887.7995,0,0,2,0.0135
1751241600000,2025-06-30 00:00:00,ALPHA/USDT,0.0185,0.0185,0.0185,0.0185,0,0,0,0,0,0.0156
1751155200000,2025-06-29 00:00:00,ALPHA/USDT,0.0185,0.0185,0.0185,0.0185,0,0,0,0,0,0.0156
1751068800000,2025-06-28 00:00:00,ALPHA/USDT,0.0149,0.0185,0.0149,0.0185,16.8094,1080.2484,3.6937,200,4,0.0156
1750982400000,2025-06-27 00:00:00,ALPHA/USDT,0.0151,0.0151,0.0151,0.0151,0,0,0,0,0,0.0176
1750896000000,2025-06-26 00:00:00,ALPHA/USDT,0.017,0.0185,0.0131,0.0151,17.9556,1021.7676,0.225,14.9015,4,0.0176
1750809600000,2025-06-25 00:00:00,ALPHA/USDT,0.0187,0.0187,0.0187,0.0187,0,0,0,0,0,0.0187
1750723200000,2025-06-24 00:00:00,ALPHA/USDT,0.0187,0.0187,0.0187,0.0187,0.0012,0.0685,0,0,1,0.0187
1750636800000,2025-06-23 00:00:00,ALPHA/USDT,0.019,0.019,0.018,0.018,6.0259,331.7734,0,0,2,0.0181
1750550400000,2025-06-22 00:00:00,ALPHA/USDT,0.02,0.02,0.019,0.019,18.974,972.32,0,0,2,0.0195
1750464000000,2025-06-21 00:00:00,ALPHA/USDT,0.0221,0.0221,0.0201,0.0213,20.6773,949.0174,7.7745,365.1727,4,0.0217
1750377600000,2025-06-20 00:00:00,ALPHA/USDT,0.0221,0.0221,0.022,0.022,7.1562,325,0,0,2,0.022
1750291200000,2025-06-19 00:00:00,ALPHA/USDT,0.022,0.022,0.022,0.022,0,0,0,0,0,0.0221
1750204800000,2025-06-18 00:00:00,ALPHA/USDT,0.022,0.022,0.022,0.022,0,0,0,0,0,0.0221
1750118400000,2025-06-17 00:00:00,ALPHA/USDT,0.0222,0.0222,0.022,0.022,1.2456,56.2,0,0,2,0.0221
1750032000000,2025-06-16 00:00:00,ALPHA/USDT,0.0245,0.0245,0.0245,0.0245,0,0,0,0,0,0.0245
1749945600000,2025-06-15 00:00:00,ALPHA/USDT,0.0245,0.0245,0.0245,0.0245,0,0,0,0,0,0.0245
1749859200000,2025-06-14 00:00:00,ALPHA/USDT,0.0245,0.0245,0.0245,0.0245,0,0,0,0,0,0.0245
