unix,date,symbol,open,high,low,close,Volume APE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751414400000,2025-07-02 00:00:00,APE/USDT,0.426,0.426,0.426,0.426,0,0,0,0,0,0.426
1751328000000,2025-07-01 00:00:00,APE/USDT,0.426,0.426,0.426,0.426,0,0,0,0,0,0.426
1751241600000,2025-06-30 00:00:00,APE/USDT,0.426,0.426,0.426,0.426,0,0,0,0,0,0.426
1751155200000,2025-06-29 00:00:00,APE/USDT,0.426,0.426,0.426,0.426,0,0,0,0,0,0.426
1751068800000,2025-06-28 00:00:00,APE/USDT,0.426,0.426,0.426,0.426,0,0,0,0,0,0.426
1750982400000,2025-06-27 00:00:00,APE/USDT,0.426,0.426,0.426,0.426,0,0,0,0,0,0.426
1750896000000,2025-06-26 00:00:00,APE/USDT,0.426,0.426,0.426,0.426,0,0,0,0,0,0.426
1750809600000,2025-06-25 00:00:00,APE/USDT,0.426,0.426,0.426,0.426,0,0,0,0,0,0.426
1750723200000,2025-06-24 00:00:00,APE/USDT,0.426,0.426,0.426,0.426,0,0,0,0,0,0.426
1750636800000,2025-06-23 00:00:00,APE/USDT,0.428,0.428,0.426,0.426,31.396,73.67957,0,0,2,0.426
1750550400000,2025-06-22 00:00:00,APE/USDT,0.63,0.63,0.63,0.63,0,0,0,0,0,0.63
1750464000000,2025-06-21 00:00:00,APE/USDT,0.63,0.63,0.63,0.63,0,0,0,0,0,0.63
1750377600000,2025-06-20 00:00:00,APE/USDT,0.63,0.63,0.63,0.63,0,0,0,0,0,0.63
1750291200000,2025-06-19 00:00:00,APE/USDT,0.63,0.63,0.63,0.63,0,0,0,0,0,0.63
1750204800000,2025-06-18 00:00:00,APE/USDT,0.63,0.63,0.63,0.63,4.638,7.36261,0,0,1,0.63
1750118400000,2025-06-17 00:00:00,APE/USDT,0.664,0.664,0.664,0.664,0,0,0,0,0,0.663
1750032000000,2025-06-16 00:00:00,APE/USDT,0.664,0.664,0.664,0.664,0,0,0,0,0,0.663
1749945600000,2025-06-15 00:00:00,APE/USDT,0.663,0.664,0.663,0.664,63.618,95.901,63.618,95.901,3,0.663
1749859200000,2025-06-14 00:00:00,APE/USDT,0.677,0.677,0.677,0.677,38.636,57.07,38.636,57.07,1,0.677
1749772800000,2025-06-13 00:00:00,APE/USDT,0.663,0.663,0.663,0.663,31.103,46.91369,31.103,46.91369,1,0.663
1749686400000,2025-06-12 00:00:00,APE/USDT,0.7,0.7,0.7,0.7,0,0,0,0,0,0.7
1749600000000,2025-06-11 00:00:00,APE/USDT,0.7,0.7,0.7,0.7,0,0,0,0,0,0.7
1749513600000,2025-06-10 00:00:00,APE/USDT,0.7,0.7,0.7,0.7,0,0,0,0,0,0.7
1749427200000,2025-06-09 00:00:00,APE/USDT,0.7,0.7,0.7,0.7,27.921,39.88747,0.808,1.15558,2,0.7
1749340800000,2025-06-08 00:00:00,APE/USDT,0.699,0.699,0.699,0.699,0,0,0,0,0,0.675
1749254400000,2025-06-07 00:00:00,APE/USDT,0.699,0.699,0.699,0.699,0,0,0,0,0,0.675
1749168000000,2025-06-06 00:00:00,APE/USDT,0.672,0.699,0.672,0.699,10.964,16.238,10.964,16.238,3,0.675
1749081600000,2025-06-05 00:00:00,APE/USDT,0.691,0.691,0.691,0.691,1.071,1.55,1.071,1.55,1,0.691
1748995200000,2025-06-04 00:00:00,APE/USDT,0.684,0.75,0.684,0.718,14.574,20.03194,14.574,20.03194,3,0.728
1748908800000,2025-06-03 00:00:00,APE/USDT,0.579,0.69,0.579,0.579,102.527,174.0453,10.913,15.81662,3,0.59
1748822400000,2025-06-02 00:00:00,APE/USDT,0.791,0.791,0.791,0.791,30.673,38.7781,28.933,36.57886,3,0.791
1748736000000,2025-06-01 00:00:00,APE/USDT,0.628,0.629,0.628,0.629,57.539,91.57153,57.539,91.57153,3,0.628
1748649600000,2025-05-31 00:00:00,APE/USDT,0.637,0.637,0.489,0.598,14.123,23.45097,0,0,4,0.607
1748563200000,2025-05-30 00:00:00,APE/USDT,0.685,0.685,0.685,0.685,0,0,0,0,0,0.654
1748476800000,2025-05-29 00:00:00,APE/USDT,0.685,0.685,0.685,0.685,0,0,0,0,0,0.654
1748390400000,2025-05-28 00:00:00,APE/USDT,0.685,0.685,0.685,0.685,0,0,0,0,0,0.654
1748304000000,2025-05-27 00:00:00,APE/USDT,0.654,0.685,0.635,0.685,804.602,1229.55677,656.019,1002.36523,6,0.654
1748217600000,2025-05-26 00:00:00,APE/USDT,0.556,0.661,0.555,0.661,125.523,219.01015,52.242,87.63321,11,0.575
1748131200000,2025-05-25 00:00:00,APE/USDT,0.656,0.656,0.656,0.656,0,0,0,0,0,0.656
1748044800000,2025-05-24 00:00:00,APE/USDT,0.657,0.657,0.656,0.656,236.933,360.83356,0,0,3,0.656
1747958400000,2025-05-23 00:00:00,APE/USDT,0.698,0.698,0.698,0.698,21.107,30.24,21.107,30.24,2,0.698
1747872000000,2025-05-22 00:00:00,APE/USDT,0.656,0.656,0.656,0.656,0,0,0,0,0,0.677
1747785600000,2025-05-21 00:00:00,APE/USDT,0.698,0.698,0.656,0.656,25.168,37.1748,12.986,18.60601,2,0.677
1747699200000,2025-05-20 00:00:00,APE/USDT,0.656,0.656,0.656,0.656,0,0,0,0,0,0.656
1747612800000,2025-05-19 00:00:00,APE/USDT,0.656,0.656,0.656,0.656,12.667,19.31,0,0,1,0.656
1747526400000,2025-05-18 00:00:00,APE/USDT,0.704,0.706,0.598,0.598,16.058,25.78171,16.058,25.78171,4,0.626
1747440000000,2025-05-17 00:00:00,APE/USDT,0.63,0.63,0.63,0.63,0,0,0,0,0,0.639
1747353600000,2025-05-16 00:00:00,APE/USDT,0.63,0.63,0.63,0.63,0,0,0,0,0,0.639
1747267200000,2025-05-15 00:00:00,APE/USDT,0.649,0.649,0.63,0.63,17.406,27.22,7.875,12.5,5,0.639
1747180800000,2025-05-14 00:00:00,APE/USDT,0.698,0.698,0.698,0.698,12.061,17.28025,12.061,17.28025,1,0.698
1747094400000,2025-05-13 00:00:00,APE/USDT,0.516,0.675,0.516,0.675,11.617,17.95024,5.488,8.13119,3,0.652
1747008000000,2025-05-12 00:00:00,APE/USDT,0.665,0.665,0.665,0.665,0,0,0,0,0,0.663
1746921600000,2025-05-11 00:00:00,APE/USDT,0.658,0.665,0.658,0.665,6.53,9.84,6.53,9.84,2,0.663
1746835200000,2025-05-10 00:00:00,APE/USDT,0.54,0.646,0.526,0.646,975.578,1512.43532,975.578,1512.43532,14,0.645
1746748800000,2025-05-09 00:00:00,APE/USDT,0.492,0.492,0.492,0.492,0,0,0,0,0,0.492
1746662400000,2025-05-08 00:00:00,APE/USDT,0.492,0.492,0.492,0.492,0,0,0,0,0,0.492
1746576000000,2025-05-07 00:00:00,APE/USDT,0.492,0.492,0.492,0.492,0,0,0,0,0,0.492
1746489600000,2025-05-06 00:00:00,APE/USDT,0.492,0.492,0.492,0.492,0,0,0,0,0,0.492
1746403200000,2025-05-05 00:00:00,APE/USDT,0.492,0.492,0.492,0.492,0,0,0,0,0,0.492
1746316800000,2025-05-04 00:00:00,APE/USDT,0.492,0.492,0.492,0.492,3.399,6.9098,0,0,1,0.492
1746230400000,2025-05-03 00:00:00,APE/USDT,0.54,0.54,0.54,0.54,0,0,0,0,0,0.54
1746144000000,2025-05-02 00:00:00,APE/USDT,0.54,0.54,0.54,0.54,3.731,6.9098,3.731,6.9098,1,0.54
1746057600000,2025-05-01 00:00:00,APE/USDT,0.53,0.53,0.53,0.53,0,0,0,0,0,0.539
1745971200000,2025-04-30 00:00:00,APE/USDT,0.54,0.54,0.465,0.53,1440.863,2668.96565,1438.548,2664.59695,5,0.539
1745884800000,2025-04-29 00:00:00,APE/USDT,0.542,0.542,0.542,0.542,8,14.76015,0,0,1,0.542
1745798400000,2025-04-28 00:00:00,APE/USDT,0.53,0.53,0.523,0.523,3.106,5.86322,0.106,0.20284,2,0.529
1745712000000,2025-04-27 00:00:00,APE/USDT,0.532,0.532,0.532,0.532,2.526,4.74997,0,0,1,0.532
1745625600000,2025-04-26 00:00:00,APE/USDT,0.646,0.646,0.646,0.646,0,0,0,0,0,0.621
1745539200000,2025-04-25 00:00:00,APE/USDT,0.646,0.646,0.646,0.646,0,0,0,0,0,0.621
1745452800000,2025-04-24 00:00:00,APE/USDT,0.517,0.646,0.517,0.646,250.284,405.67906,228.428,364.59593,9,0.621
1745366400000,2025-04-23 00:00:00,APE/USDT,0.5,0.5,0.473,0.473,5.233,10.49298,0.233,0.49298,2,0.498
1745280000000,2025-04-22 00:00:00,APE/USDT,0.448,0.448,0.448,0.448,0,0,0,0,0,0.454
1745193600000,2025-04-21 00:00:00,APE/USDT,0.448,0.448,0.448,0.448,0,0,0,0,0,0.454
1745107200000,2025-04-20 00:00:00,APE/USDT,0.448,0.448,0.448,0.448,0,0,0,0,0,0.454
1745020800000,2025-04-19 00:00:00,APE/USDT,0.448,0.448,0.448,0.448,0,0,0,0,0,0.454
1744934400000,2025-04-18 00:00:00,APE/USDT,0.448,0.448,0.448,0.448,0,0,0,0,0,0.454
1744848000000,2025-04-17 00:00:00,APE/USDT,0.448,0.448,0.448,0.448,0,0,0,0,0,0.454
1744761600000,2025-04-16 00:00:00,APE/USDT,0.448,0.448,0.448,0.448,0,0,0,0,0,0.454
1744675200000,2025-04-15 00:00:00,APE/USDT,0.448,0.448,0.448,0.448,0,0,0,0,0,0.454
1744588800000,2025-04-14 00:00:00,APE/USDT,0.461,0.461,0.447,0.448,166.725,366.94148,166.725,366.94148,3,0.454
1744502400000,2025-04-13 00:00:00,APE/USDT,0.417,0.417,0.417,0.417,0.618,1.48298,0.618,1.48298,1,0.417
1744416000000,2025-04-12 00:00:00,APE/USDT,0.53,0.53,0.53,0.53,14.999,28.30188,14.999,28.30188,1,0.53
1744329600000,2025-04-11 00:00:00,APE/USDT,0.415,0.415,0.361,0.361,13.201,31.92211,12.89,31.06211,3,0.413
1744243200000,2025-04-10 00:00:00,APE/USDT,0.296,0.296,0.296,0.296,0,0,0,0,0,0.358
1744156800000,2025-04-09 00:00:00,APE/USDT,0.378,0.429,0.296,0.296,93.696,267.68068,25.293,59.08706,13,0.358
1744070400000,2025-04-08 00:00:00,APE/USDT,0.375,0.375,0.375,0.375,0,0,0,0,0,0.375
1743984000000,2025-04-07 00:00:00,APE/USDT,0.376,0.376,0.375,0.375,9.24,24.628,0,0,3,0.375
1743897600000,2025-04-06 00:00:00,APE/USDT,0.44,0.44,0.44,0.44,0,0,0,0,0,0.44
1743811200000,2025-04-05 00:00:00,APE/USDT,0.44,0.44,0.44,0.44,0,0,0,0,0,0.44
1743724800000,2025-04-04 00:00:00,APE/USDT,0.44,0.44,0.44,0.44,0,0,0,0,0,0.44
